budget,replicate_count,group_count,min_group_size,auroc_mean,auroc_std,auroc_q025,auroc_q975,auprc_mean,auprc_std,auprc_q025,auprc_q975,f1_best_diagnostic_mean,f1_best_diagnostic_std,f1_best_diagnostic_q025,f1_best_diagnostic_q975
1,1000,66,4,0.8123402777777778,0.036668059596366286,0.7395543981481482,0.8819733796296297,0.9339519943224801,0.014082178126197192,0.9060854919158974,0.9607464058121037,0.8587591515976756,0.013642115587757823,0.8421052631578948,0.8913518362178133
2,1000,66,4,0.8395613425925926,0.02717717795262159,0.7835648148148149,0.8900462962962963,0.9454373140287214,0.009697581007399925,0.9256933536514864,0.9629935209762793,0.8648192481119472,0.015745789170805824,0.8421052631578948,0.9010989010989011
3,1000,66,4,0.8535694444444446,0.021937526959717055,0.8066840277777778,0.8947048611111111,0.9511300309839814,0.00758054945685465,0.9351263376398333,0.9653007305311735,0.8704782419366066,0.015773998854494257,0.8421052631578948,0.9032258064516129
4,1000,66,4,0.8496516203703705,0.019477361199207247,0.8113425925925927,0.885445601851852,0.9508999339515124,0.006618214198641036,0.9377403221169884,0.9630931557477483,0.8692295261724137,0.015011620084895911,0.8421052631578948,0.9010989010989011
